epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,120,,,,,,,,,,,,,0.999997079372406,0.9999892711639404,0.9999785423278809,9516120.0,0.9999892711639404,0.9999892711639404
0,120,,,,,,,0.9964258670806885,0.9874897003173828,0.9842196106910706,13618987008.0,0.9874897003173828,0.9874897003173828,,,,,,
1,241,,,,,,,,,,,,,0.999997079372406,0.9999892711639404,0.9999785423278809,-0.040407370775938034,0.9999892711639404,0.9999892711639404
1,241,,,,,,,0.9999701380729675,0.9998945593833923,0.9997923374176025,-34399616.0,0.9998945593833923,0.9998945593833923,,,,,,
2,362,,,,,,,,,,,,,0.999997079372406,0.9999892711639404,0.9999785423278809,-0.040395066142082214,0.9999892711639404,0.9999892711639404
2,362,,,,,,,0.9999733567237854,0.9999062418937683,0.9998155832290649,-264240.96875,0.9999062418937683,0.9999062418937683,,,,,,
3,483,,,,,,,,,,,,,0.999997079372406,0.9999892711639404,0.9999785423278809,-0.04032177850604057,0.9999892711639404,0.9999892711639404
3,483,,,,,,,0.9999727010726929,0.999904453754425,0.999811589717865,-402690.8125,0.999904453754425,0.999904453754425,,,,,,
4,604,,,,,,,,,,,,,0.999997079372406,0.9999892711639404,0.9999785423278809,-0.040397271513938904,0.9999892711639404,0.9999892711639404
4,604,,,,,,,0.9999717473983765,0.9998998641967773,0.9998027086257935,87255.6328125,0.9998998641967773,0.9998998641967773,,,,,,
5,725,,,,,,,,,,,,,0.9999768137931824,0.9999183416366577,0.9998373985290527,-0.0403718575835228,0.9999183416366577,0.9999183416366577
5,725,,,,,,,0.9995795488357544,0.9985273480415344,0.9971559643745422,-293909984.0,0.9985273480415344,0.9985273480415344,,,,,,
6,846,,,,,,,,,,,,,0.9999942183494568,0.9999790191650391,0.9999581575393677,-0.040417902171611786,0.9999790191650391,0.9999790191650391
6,846,,,,,,,0.9993687272071838,0.9977908730506897,0.9957858324050903,50596.40625,0.9977908730506897,0.9977908730506897,,,,,,
7,967,,,,,,,,,,,,,0.999983549118042,0.9999417662620544,0.999883770942688,-0.040342941880226135,0.9999417662620544,0.9999417662620544
7,967,,,,,,,0.999371349811554,0.9977981448173523,0.9957936406135559,80751.1015625,0.9977981448173523,0.9977981448173523,,,,,,
8,1088,,,,,,,,,,,,,0.9999638795852661,0.9998728632926941,0.9997481107711792,-0.040367625653743744,0.9998728632926941,0.9998728632926941
8,1088,,,,,,,0.9990233778953552,0.996580958366394,0.993534505367279,-16835.802734375,0.996580958366394,0.996580958366394,,,,,,
9,1209,,,,,,,,,,,,,0.9999920129776001,0.999971330165863,0.9999426007270813,-0.04020295664668083,0.999971330165863,0.999971330165863
9,1209,,,,,,,0.9988794326782227,0.9960767030715942,0.9927219748497009,98733.0078125,0.9960767030715942,0.9960767030715942,,,,,,
10,1330,,,,,,,,,,,,,0.9999881982803345,0.9999583959579468,0.9999169111251831,-0.04034522920846939,0.9999583959579468,0.9999583959579468
10,1330,,,,,,,0.9990222454071045,0.9965769648551941,0.9935314059257507,119951.734375,0.9965769648551941,0.9965769648551941,,,,,,
11,1451,,,,,,,,,,,,,0.9999871253967285,0.9999545812606812,0.9999092817306519,-0.04033078998327255,0.9999545812606812,0.9999545812606812
11,1451,,,,,,,0.999229907989502,0.9973045587539673,0.9949511289596558,0.0009072106331586838,0.9973045587539673,0.9973045587539673,,,,,,
12,1572,,,,,,,,,,,,,0.9999956488609314,0.9999843239784241,0.9999685287475586,-0.04026820510625839,0.9999843239784241,0.9999843239784241
12,1572,,,,,,,0.9994257688522339,0.9979903697967529,0.9961472749710083,4526.01806640625,0.9979903697967529,0.9979903697967529,,,,,,
13,1693,,,,,,,,,,,,,0.9999933242797852,0.9999762177467346,0.9999525547027588,-0.04034734517335892,0.9999762177467346,0.9999762177467346
13,1693,,,,,,,0.9992954730987549,0.9975327253341675,0.9954343438148499,-0.0018849982880055904,0.9975327253341675,0.9975327253341675,,,,,,
14,1694,0.9999485015869141,0.999818742275238,0.9996401071548462,-0.040761735290288925,0.999818742275238,0.999818742275238,,,,,,,,,,,,
